Sales Region,,Last Activity,Account Owner,Account Name,Billing State/Province (text only),Type,Rating,Last Modified Date,Account ID
Americas,,11/28/2022,Matt Paddon,Labranche Therrien Daoust Lefrancois,Quebec,Customer,,12/16/2022,001070000092W5n
Americas,,12/17/2021,Matt Paddon,Dixie District Schools,,Customer,,11/1/2022,001070000092l9k
Americas,,9/1/2022,Matt Paddon,Hayward Holdings,,Customer,,11/1/2022,001070000093ORy
Americas,,4/19/2022,Brian Driscoll,Orange County Assessor,California,Customer,,1/20/2023,001070000094AtW
Americas,,12/20/2022,Matt Paddon,Burns White,Pennsylvania,Customer,,1/16/2023,0010700000AnB7B
Americas,,10/7/2022,Matt Paddon,Merck Sharp & Dohme Federal Credit Union,Pennsylvania,Customer,,11/14/2022,001070000086zb9
Americas,,2/24/2022,Brian Driscoll,Exchange Bank,Nebraska,Customer,,11/4/2022,0010700000885Vt
Americas,,6/30/2022,Brian Driscoll,Vistage Worldwide Inc.,California,Customer,,1/20/2023,0010700000CZUd2
Americas,,10/31/2022,Matt Paddon,Chicago Fundamental Partners,,Customer,,11/14/2022,001070000091Jqd
Americas,,12/20/2022,Matt Paddon,Fonative,Massachusetts,Customer,,11/14/2022,0010700000AoX7H
Americas,,,Matt Paddon,J. Paul Getty Museum,California,Customer,,11/4/2022,0010700000CaQGC
Americas,,1/6/2023,Matt Paddon,Pronico,,Customer,,9/14/2022,0010700000Idqxy
Americas,,8/24/2022,Brian Driscoll,Chippewa Valley Technical College,Wisconsin,Customer,,1/20/2023,0011n00001wUZIK
Americas,,,Matt Paddon,Ashland Credit Union,,Customer,,11/1/2022,0011n00002ks5VZ
Americas,,5/28/2021,Matt Paddon,Sierra Pacific Credit Union,Massachusetts,Customer,,11/1/2022,0011n00002fNCKW
Americas,,,Matt Paddon,Wilson College,Pennsylvania,Customer,,11/1/2022,0011n00002hAO3H
Americas,,9/26/2022,Matt Paddon,Healthsource Saginaw,Michigan,Customer,,11/1/2022,0011n00002lzZ6p
Americas,,4/13/2022,Brian Driscoll,TigerGraph,California,Customer,,1/6/2023,0011n00002m1nl2
Americas,,1/14/2022,Matt Paddon,Farmax,,Customer,,8/23/2022,0011n00002nX44I
Americas,,5/7/2021,Matt Paddon,Lone Star National Bank,Texas,Customer,,11/1/2022,0011n00002e2UhJ
Americas,,1/9/2023,Matt Paddon,GDBA,California,Customer,,12/29/2022,0011n00002eYvF2
Americas,,9/15/2020,Brian Driscoll,Texas Disposal Systems,Texas,Customer,,11/4/2022,0011n00002DhSFO
Americas,,7/1/2021,Brian Driscoll,NCPD FCU,New York,Customer,,12/29/2022,0011n00002DhZm3
Americas,,10/31/2022,Matt Paddon,Massasoit Community College,Massachusetts,Customer,,11/14/2022,0011n00002T5xYo
Americas,,12/16/2022,Brian Driscoll,Vancouver Public Library,British Columbia,Customer,,1/20/2023,0011n00002T61Tg
Americas,,1/31/2022,Matt Paddon,Donor Network West,California,Customer,,11/1/2022,0011n00002ObLYw
Americas,,12/20/2022,Matt Paddon,United Electric Controls,Massachusetts,Customer,,1/18/2023,0011n00002T6aw4
Americas,,,Matt Paddon,Ksaria Corporation,Massachusetts,Customer,,11/1/2022,0011n00002T6ayT
Americas,,12/14/2021,Brian Driscoll,Salt River Electric,Kentucky,Customer,,11/14/2022,0011n00002T7FEH
Americas,,1/11/2023,Matt Paddon,HM Electronics,California,Customer,,1/13/2023,0011n00002RHfVI
Americas,,9/14/2021,Matt Paddon,Halo Recognition,Illinois,Customer,,11/14/2022,0011n00002RHxq3
Americas,,2/9/2022,Matt Paddon,CAA Québec,Quebec,Customer,,11/14/2022,0011n00002RIKiH
Americas,,10/31/2022,Matt Paddon,Wheaton College,Massachusetts,Customer,,11/23/2022,0011n00002RIRFI
Americas,,1/18/2022,Matt Paddon,Town of Normal,Illinois,Customer,,9/14/2022,0011n00002RIrT9
Americas,,8/18/2022,Brian Driscoll,Huntsworth Health,Pennsylvania,Customer,,12/30/2022,0011n00002FIssm
Americas,,12/20/2022,Matt Paddon,Greater Alliance Federal Credit Union,New Jersey,Customer,,11/1/2022,0011n00002SDFc7
Americas,,12/20/2022,Matt Paddon,Bank Newport,Rhode Island,Customer,,1/19/2023,0011n00002WgpLW
Americas,,12/20/2021,Matt Paddon,Élections Québec,Quebec,Customer,,11/1/2022,0011n00002SDZd8
Americas,,11/30/2022,Matt Paddon,GlobeTax,New York,Customer,,12/22/2022,0011n00002XUvT7
Americas,,5/12/2022,Brian Driscoll,"Brazos Electric Power Cooperative, Inc.",Texas,Customer,,9/14/2022,0011n00002XVUoq
Americas,,3/16/2022,Brian Driscoll,"Core-Mark International, Inc",Texas,Customer,,1/20/2023,0011n00002QgVP5
Americas,,3/30/2022,Brian Driscoll,IRB BrasilRE,Rio de Janeiro,Customer,,1/13/2023,0011n00002QgVPP
Americas,,6/29/2021,Brian Driscoll,ICC Chemical,New York,Customer,,1/17/2023,0011n00002XYFCh
Americas,,12/20/2022,Matt Paddon,Peachtree Orthopedic Clinic P.A.,Georgia,Customer,,11/14/2022,0011n00002YTftR
Americas,,9/22/2020,Matt Paddon,Comprehensive Pharmacy Services,Tennessee,Customer,,11/1/2022,0011n00002DOXcb
Americas,,7/12/2022,Brian Driscoll,Columbia College,Missouri,Customer,,11/1/2022,0011n00002Mzt1p
Americas,,4/26/2021,Brian Driscoll,North Shore Community College,Massachusetts,Customer,,12/29/2022,0011n00002Qimtq
Americas,,9/15/2022,Brian Driscoll,PAX Technology,Florida,Customer,,9/29/2022,0011n00002b8C7x
Americas,,6/29/2022,Brian Driscoll,Waubonsee Community College,Illinois,Customer,,1/20/2023,0011n00002bdWYu
Americas,,4/8/2021,Matt Paddon,Fast Park & Relax,Kentucky,Customer,,11/14/2022,0011n00002bflsI
Americas,,7/25/2022,Brian Driscoll,Baron Capital,New York,Customer,,1/20/2023,0011n00001ktXpm
Americas,,3/29/2022,Matt Paddon,High West Energy,Wyoming,Customer,,11/14/2022,0011n00002b8EAG
Americas,,3/18/2021,Matt Paddon,Fitchburg State University,Massachusetts,Customer,,11/23/2022,0011n00001lUjkt
Americas,,12/15/2022,Brian Driscoll,Mount Wachusett Community College,Massachusetts,Customer,,12/22/2022,0011n00002b94q7
Americas,,7/13/2022,Brian Driscoll,FFCU,Georgia,Customer,,11/7/2022,0011n00002aX31M
Americas,,2/10/2022,Søren Laustrup,Agropur,Quebec,Customer,,11/1/2022,0011n00002b5EyB
Americas,,3/4/2022,Brian Driscoll,Republic Title of Texas,Texas,Customer,,11/1/2022,0011n00001mT1Zy
Americas,,6/15/2022,Brian Driscoll,First Quality Enterprises Inc,New York,Customer,,11/7/2022,0011n00001lUlXp
Americas,,12/23/2022,Brian Driscoll,Risas Dental Management LLC,Arizona,Customer,,12/28/2022,0011n00001kbaR5
Americas,,10/26/2022,Matt Paddon,OMEGA Systems Consultants Inc.,Pennsylvania,Customer,,11/14/2022,0011n00001kcJnr
Americas,,6/28/2022,Brian Driscoll,Cape Cod Healthcare,Massachusetts,Customer,,1/20/2023,0011n00001lUjfW
Americas,,6/7/2022,Matt Paddon,TRANZACT,New Jersey,Customer,,9/14/2022,0011n00001lUm0q
Americas,,6/6/2022,Brian Driscoll,AholdDelhaize USA,Massachusetts,Customer,,10/30/2022,0010Y00001guLnp
Americas,,9/30/2021,Brian Driscoll,Raytheon Inc.,Virginia,Customer,,11/14/2022,0010Y00001b2bpd
Americas,,12/28/2022,Brian Driscoll,Extreme Networks Inc,California,Customer,,1/23/2023,0011n00001iwP1Y
Americas,,2/3/2022,Brian Driscoll,Reed College,Oregon,Customer,,12/28/2022,0010Y00001IEw7X
Americas,,10/16/2017,Jesper Zerlang,The Boeing Company Industrial Participation Programs,,Customer,,8/23/2022,0010Y00000GQ3oO
Americas,,12/15/2022,Brian Driscoll,Marist College,New York,Customer,,11/1/2022,0011n00002Oc66e
Americas,,10/5/2022,Brian Driscoll,Pacific Propeller International,Washington,Customer,,11/1/2022,0011n00002hA4b3
Americas,,7/22/2022,John Jack Sullivan,Xpress Bill Pay,Utah,Customer,,11/1/2022,0010700000EDlde
Americas,,7/25/2022,Matt Paddon,Parkdale Incorporated,,Customer,,11/1/2022,0010700000Idtxr
Americas,,12/2/2022,Matt Paddon,Sitetracker,New Jersey,Customer,,1/10/2023,0019L000002wgIQ
Americas,,1/9/2023,Matt Paddon,Custom Laminating Corp,Pennsylvania,Customer,,1/19/2023,0019L000002yCFs
Americas,,10/25/2022,Brian Driscoll,Silver Creek School Corporation,Indiana,Customer,,11/14/2022,0019L000002XVBh
Americas,,12/28/2022,Brian Driscoll,APP Group (Canada) Inc.,Quebec,Customer,,1/3/2023,0019L000002amgq
Americas,,8/30/2022,Brian Driscoll,Santander Consumer Canada,Alberta,Customer,,11/1/2022,0019L000002K9N3
Americas,,12/22/2022,Brian Driscoll,Durham Public Schools,North Carolina,Customer,,1/10/2023,0019L000001pK5v
Americas,,11/18/2022,Brian Driscoll,Kawa Capital Management,Florida,Customer,,11/23/2022,0019L000002XVBX